,date of discovery or report,date,city,STATE,source,reported phenomenon other than swastika ,accompanying text,accompanying visual signs,Nazi Reference,media,place,category of place,structure,url_to_jpg,target,target,culprit, ,notes,Actor,Move,Actor,Move,Actor,Move,Actor,Move,combined moves,
https://www.bostonglobe.com/2020/01/22/metro/swastikas-found-emerson-college-dormitory/,1/21/20,Jan-2020,Boston,MA,Local News,"hate-graffiti, hate-symbol",,,,marker,dorm,college,stairwells,,,,,"Emerson College President Lee Pelton said in the e-mail.

“Needless to say, this symbol, which was appropriated by fascists to represent and mobilize violence against Jews and millions of other marginalized people, is a form of hate speech,” Pelton said. “Defacing our campus with such a symbol is indefensibly abhorrent, and I ask all of you to join me in condemning it.”

The president added that as antiSemitism and “ugly forms of bias” become more frequent, the Emerson community will stand against such acts.

“Our hope shall always be that, out of the rich diversity of human experience, we can continue to create a community of learning—one made both beautiful and effective by its pluralism, one that will turn the tide of human want into a sea of joy and light,” he said.  The college will hold a community vigil Thursday, Emerson’s Director of Spiritual and Religious Life Julie Avis Rogers said in a statement Wednesday evening. The 4 p.m. vigil will be led by Rogers and the college’s Jewish Advisor Jake Freedman at the college’s

Rogers said the community is “heavy hearted, angry, sad, and perhaps even numbed,” by the graffiti.

“We at Emerson are greatly gifted by the presence of our Jewish community members; we are blessed by the wisdom and beauty found within the Jewish tradition, and we are a stronger community because of the vision of justice and compassion that the Jewish tradition exemplifies for us,” she said.",,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,,,,,"letters/statements, gathering/protest/vigil/demonstration",
http://chimes.biola.edu/story/2016/apr/28/swastika-drawing-unearths-preexisting-wounds/,4/14/16,Apr-2016,Los Angeles,CA,Student Newspaper,hate-incident,,,No,marker,college,college,dorm wall,https://chimesnewspaper.com/wp-content/uploads/2016/04/NE03-swastikapiece_MA-7664-Edit-Edit_gallery_view-475x279.jpg,Black American Community,,,"forum as well as panel, and discussion; open letter from students and faculty, one of whom wrote: The swastika, then, is not the problem. The problem is that Biola has not accepted its actual social reality. They would prefer, instead, to deny the racism active in their midst. They have not accepted their institutional negligence. They have not mandated cultural competency. What is needed is not just reconciliation; first there must be truth. As an institution it must confess to consciously and unconsciously fostering racism, privilege, bigotry. Biola must confess their lack of action to rid the campus of these issues, supporting ignorance. Biola, then, must tell the truth about itself, to itself, so that it can move forward into hard work of true campus-wide liberation."" Also, students petitioned for mandatory class on race relations and social justice. Police have been involved, and campus security has been investigating.",Reported a second time here: http://chimes.biola.edu/story/2016/apr/28/swastika-drawing-unearths-preexisting-wounds/ Also reported here: https://www.washingtonpost.com/news/acts-of-faith/wp/2016/04/21/a-swastika-was-drawn-on-a-black-students-dorm-door-at-one-of-the-countrys-most-prominent-christian-colleges/?utm_term=.621190109529,school administration,gathering/protest/vigil/demonstration,student group,letters/statements,student group,policy/committee/system creation,police/sheriff,other,"gathering/protest/vigil/demonstration, letters/statements, policy/committee/system creation, other",Black American Community
http://www.capitalgazette.com/news/ph-ac-cn-aacc-hatecrime-1217-20161217-story.html,12/12/16,Dec-2016,Arnold,MA,Local News,"bias-incidents, graffiti",,,,metal,college,college,bathroom,,,,,"""In early December, staff and students organized a rally of about 50 people to express solidarity against bigotry. Suzanne Spoor, an English professor who helped to organize the rally, facilitated conversations with students about the tensions on campus and during the election. She said the meeting yielded proposals, such as increasing bystander training and keeping track of harassment on campus, to ensure the campus is a safe place."" campus police involvement","Anne Arundel Community College other incidents with swastikas are also mentioned: AACC Vice President Melissa Beardmore reported racist, political and sexual remarks and symbols, including a swastika, drawn on a picnic table three days after Election Day. About a week before Election Day, a school staff member saw a swastika carved in the bathroom along with the message ""Hitler did nothing wrong,"" a popular internet phrase. A swastika was also found in a campus bathroom Monday.",student group,gathering/protest/vigil/demonstration,student group,other,police/sheriff,other,,,"gathering/protest/vigil/demonstration, other, other",
http://www.chicagotribune.com/suburbs/river-forest/news/ct-rfl-dominican-swastika-tl-0202-20170124-story.html,1/11/17,Jan-2017,River Forest,IL,Local News,symbol-of-hate and bigotry,,,No,cleaning fluid,college,college,dorm hallway,,,,,"On January 24, 2017 there was a gathering where those in attendance were asked to provide an uplifting word or message on index cards, which were placed one floor below the incident in a masking tape heart.",,student group,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,
https://web.archive.org/save/https://www.alligator.org/news/campus/article_ff050240-e3e2-11e6-a7c8-d7f0f011fd11.html,1/26/17,Jan-2017,Gainesville,FL,Student Newspaper,social-experiment,,,no,cloth and ink,college,college,armband,http://bloximages.chicago2.vip.townnews.com/alligator.org/content/tncms/assets/v3/editorial/3/cf/3cf66992-e445-11e6-a911-3b70524053b2/588ac622edacd.image.jpg?resize=300%2C200,,,"34 year old, white male, Michael Dewitz","immediate public peaceful protest at site, physical beating by two locals; letter from college president calling it a symbol-of-hate; Dewitz was fired from his job. Jaime Gresley, an associate dean and the director of new student family programs, handed out U Matter, We Care cards for students who might be distressed. The Lubavitch-Chabad Jewish Student and Community Center set up a table nearby as a resource for Jewish students.",Also mentioned again here :https://www.wuft.org/news/2017/01/27/while-activists-gather-at-rally-to-commemorate-auschwitz-liberation-another-swastika-wearer-spotted/,student group,gathering/protest/vigil/demonstration,school administration,letters/statements,school administration,victim support,religious leaders,victim support,"gathering/protest/vigil/demonstration, letters/statements, victim support, victim support",
https://web.archive.org/save/https://www.wuft.org/news/2017/01/27/while-activists-gather-at-rally-to-commemorate-auschwitz-liberation-another-swastika-wearer-spotted/,1/27/17,Jan-2017,Gainesville,FL,Local News,symbols-of-hate,,,no,cloth and ink,college,college,jacket,https://www.wuft.org/news/files/2017/01/swastika-liberation-rally-e1485548588109-768x1024.jpg,,,Roger Wiggins,Was a rally to commemorate the 72nd anniversary of the liberation of Auschwitz,,school administration,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,
https://web.archive.org/save/https://philadelphia.cbslocal.com/2017/03/02/haverford-college-standing-against-antiSemitism-after-swastika-found-inside-dorm-room/,3/1/17,Mar-2017,Haverford,PA,Local News,,,,no,paper and ink,college,college,bulletin board,,,,,students observe a moment of silence; police involvement; hosted a Holocaust survivor (Maruis Gherovici) to share his story,,student group,gathering/protest/vigil/demonstration,police/sheriff,other,community members,policy/committee/system creation,,,"gathering/protest/vigil/demonstration, other, policy/committee/system creation",
https://web.archive.org/save/https://www.dailyemerald.com/2017/04/20/white-nationalists-visit-uo-dont-find-support/,4/20/17,Apr-2017,Eugene,OR,Student Newspaper,swastika,Truth-Dispels-Darkness,,unclear,ink,college,college,car decal,https://bloximages.newyork1.vip.townnews.com/dailyemerald.com/content/tncms/assets/v3/editorial/6/ec/6ec14795-1743-59a5-b89b-39e57faa626c/5ba580fe17d62.image.jpg?resize=1200%2C675,,,Jimmy Marr,"The crowd’s spirt was lifted when Jack Melul, a rabbi who runs Akiva on campus, danced in front of Chad, singing “The Jewish people are still alive,” in Hebrew.","bday of Adolf Hitler, white nationalist Jimmy Marr (twitter handle GenocideJimmy) visits campus to explain and represent white nationalism HE IS A REPEAT OFFENDER. ",religious leaders,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,
https://web.archive.org/save/https://bangordailynews.com/2017/09/08/news/midcoast/swastika-graffiti-reported-at-bowdoin-college/,9/5/17,Sep-2017,Brunswick,ME,Student Newspaper,"bias-incidents, vandalism",,,,marker,arts center,college,whiteboard,,LGBTQ,,,student led town hall held later in response to this and other related events. see here: https://bowdoinorient.com/2018/10/26/student-frustration-comes-through-at-town-hall/,homophobic language,student group,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,LGBTQ
https://web.archive.org/save/https://themacweekly.com/73189/news/swastikas-found-in-the-library/,11/12/17,Nov-2017,Saint Paul,MN,Student Newspaper,hate-markings,,,no,,college,college,poster,,,,,Walk-In Against Hate November 16,really cool timeline identifying dates of swastika incidents and campus responses,community members,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,
https://web.archive.org/save/https://13wham.com/news/local/swastika-found-inside-nazareth-college-dorm,9/26/18,Sep-2018,Rochester,NY,Local News,,,,,plastic,dorm,college,dorm door,,,,,"On Monday, Nazareth will hold an event with students, faculty and staff to talk about religious differences and promote understanding, making the incident a teachable moment about embracing diversity.; internal investigation; College president Daan Braveman called it, ""deeply disturbing and concerning,"" particularity because he's a person of Jewish faith. “It’s hurtful"" Braveman said. ""It’s hurtful to people of the Jewish faith. It’s hurtful to anyone who’s a caring person and who understands that we have difference faiths, some with no beliefs and we should celebrate that.” Wednesday evening, the college president said, a student discovered the swastika symbol outside of her dorm room door. Braveman said the student immediately called campus security. “The swastika is a symbol that stands for hatred and murder,"" he said. ""It’s not just a joke. If someone thought it was a joke, that person needs to be educated on why it isn’t a joke. And if someone did it intentionally to harm others, then that’s a whole another issue as well.”",,school administration,gathering/protest/vigil/demonstration,school administration,letters/statements,school administration,other,,,"gathering/protest/vigil/demonstration, letters/statements, other",
https://web.archive.org/save/http://nevadasagebrush.com/blog/2018/11/03/antisemitic-symbols-are-carved-in-residence-hall-door-after-the-synagogue-shooting/,10/27/2018,Oct-2018,Reno,NV,Student Newspaper,vandalism,,,,pencil,dorm,college,,,,,,"In response to this vandalism, Peavine Hall called for a mandatory community meeting on Tuesday, Oct. 30 to address these issues. Residents, resident assistants and resident directors were in attendance.

“We want all members of our community to feel welcome and safe, and the best ones to promote that feeling are the other students in the community,” Rod Aeschlimann, the director of Residential Life, Housing & Food Services said. “Students are asked to listen to each other and to reach out to others for support….. to be watchful and aware of friends most affected by fear and emotion, letting them know your own personal support of them and encouraging utilization of campus resources if appropriate.”

At the meeting, it was announced there was an open hate-crime investigation. Several rooms in the area of the carved swastika were interrogated by the police. In order to avoid similar situations in the future, students suggested for the installation of cameras in the hallway or to have resident assistants conduct 24-hour watch on all floors.

”We wanted to remind the community that these acts of hate and discrimination not only create an environment of hostility but are a violation of university policy.” Amanda Chavez, the resident director of Peavine and Edtivia Rutherford, the graduate resident director of Peavine said in an email to Peavine residents. “We are a welcoming community that strives to embrace diversity and inclusion. We are made up of people from different backgrounds, races and ethnicities, religions, genders, sexual orientations, and abilities. All of us deserve the right to be treated with respect and live in an environment where we are not subject to discrimination. Read the linked article for more. Also read this article for more on community response: http://nevadasagebrush.com/blog/2019/03/13/swastika-found-in-juniper-hall-student-leaders-address-antiSemitism/. It says In response to the Peavine incident, ASUN held a town hall meeting on Wednesday, Nov. 7, 2018 to address student concerns. Around 100 students, faculty and concerned individuals attended the event. Topics of discussion included discrimination, sexual assault and Tau Kappa Epsilon. Some students condemned the university for not addressing antiSemitism properly and others felt the university did not support its Jewish students. In February 2019, President Hannah Jackson announced her partnership with Sigma Alpha Epsilon Pi sorority and Alpha Epsilon Pi fraternity in order to create workshops to address antiSemitism on campus. ASUN, Student Services and Hillel plan to bring the Anti-defamation League of Nevada on campus for training. The Residence Hall Association held a town hall meeting in December 2018  to address students living in the resident halls’ concerns. Some students called for more transparency between housing and students since they were unsure if any action was being done. Students suggested more surveillance in the halls of student housing, increased security, more education on diversity and culture and stricter discipline on hate-crimes. Here, Associated Students of the University of Nevada announced they were planning a diversity and inclusion event for April 2019. RHA also advocated for residence halls’ Leadership Council to think of events or activities aimed at inclusion and diversity.",,school administration,gathering/protest/vigil/demonstration,police/sheriff,other,religious leaders,victim support,school administration,letters/statements,"gathering/protest/vigil/demonstration, other, victim support, letters/statements",
https://denverite.com/2018/11/07/regis-university-takes-a-stand-against-hate-speech-on-campus-as-its-done-before/,11/5/2018,Nov-2018,Denver,CO,Online Magazine,,White-Lives-Matter,,,paper and ink,campus office,college,office floor,,Black American Community,,,candelight vigil on campus ,occurred on same day that civil rights activists in Denver found burned flyers that promoted passing of ammendment to remove slavery from CO constitution: see https://denverite.com/2018/11/05/this-is-a-cross-burning-in-2018-anti-slavery-advocate-finds-burned-election-materials-on-his-porch/,community members,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,Black American Community
https://web.archive.org/save/https://www.usnews.com/news/best-states/rhode-island/articles/2017-03-02/swastika-burned-into-sign-along-bike-path-in-barrington,2/24/17,Feb-2017,Cincinnati,OH,Local News,Nazi-flag,,,yes,cloth and ink,college,college,flag/dorm room,,,,,"The Xavier Student Government Association issued a statement condemning the display and urging students or faculty who observe bias to report it. ""This vile act of supremacy goes against what we as a community stand for, and it is incumbent upon us as students to speak up in the face of hatred here and anywhere,"" the group said in a statement. Xavier President Michael Graham, S.J. said members of the University's Bias Advisory Response Team shared news of the incident with the campus community hours after school officials were informed about it. There is a ""dialogue"" scheduled by the student government for March 12.",This was a Nazi flag hung in a dorm room.,student group,gathering/protest/vigil/demonstration,school administration,letters/statements,school administration,gathering/protest/vigil/demonstration,,,"gathering/protest/vigil/demonstration, letters/statements, gathering/protest/vigil/demonstration",
https://web.archive.org/save/http://www.haaretz.com/us-news/1.778397,3/18/17,Mar-2017,Blacksburg,VA,International News,act-of-hate,,,no,paper and ink,college,college,Jewish student center,,Jewish Community,,,"police involvement; Rabbi Zwiebel: ""We appreciate Virginia Tech President Timothy Sands, who quickly tweeted his support for the Jewish community and we are in touch with the administration as they proactively respond to this incident."" A rally on campus in support of the Virginia Tech Jewish community is scheduled for Monday evening.",leaflets,police/sheriff,gathering/protest/vigil/demonstration,religious leaders,letters/statements,school administration,gathering/protest/vigil/demonstration,,,"gathering/protest/vigil/demonstration, letters/statements, gathering/protest/vigil/demonstration",Jewish Community
