website,date of discovery or report,date,city,STATE,source,reported phenomenon other than swastika,reported phenomenon other than swastika 2,reported phenomenon other than swastika 3,accompanying text,accompanying visual signs,Nazi Reference,media,place,category of place,structure,url_to_jpg,target,target,culprit, ,notes,Actor 1,Move 1,"Actor 1
Move 1",Actor 2,Move 2,"Actor 2
Move 2",Actor 3,Move 3,"Actor 3
Move 3",Actor 4,Move 4,"Actor 4
Move 4",Number of Moves,Classification of Incident,reported phenomenon broad classification,combined moves,combined actors,combined targets,Police Involvement,Police Move,Religious Leader Involvement,Letters/Statements Issued,Clean Up/Cover Up,Clean Up/Cover Up Actor,suspension/denial of access to space,Other Move,Other Actor,Policy/Committee/System Created,Gathering/Protest/Vigil/Demonstration Held,Victim Support,Support,Silence
http://www.nbcphiladelphia.com/news/local/Temple-University-Swastika-Racial-Slur-Snow-Car-Police-Philadelphia--367924781.html,2/5/16,Feb-2016,Philadelphia,PA,Local News,none,,,N*****,,No,snow,college campus,college,automobile,https://coedmagazine.files.wordpress.com/2016/02/screen-shot-2016-02-05-at-1-50-27-pm.jpeg?quality=88,Black American Community,,,"“Temple University condemns the use of these symbols and language in the strongest terms,” Lausch Temple University spokesperson said in a released statement. “The incident has been reported to Temple University Police and is actively being investigated. The university will make every effort to identify those responsible, and will hold them accountable.”",Person/persons of interest https://media.nbcphiladelphia.com/images/620*349/Temple-Swastika-Suspects.jpg,school administration,letters/statements,"school administration
letters/statements",police/sheriff,other,"police/sheriff
other",,,"
",,,"
",2,None,none,"letters/statements, other","school administration, police/sheriff",Black American Community,True,other,0,True,False,None,False,True,police/sheriff,0,0,0,False,True
https://thetab.com/us/rutgers/2016/02/18/swastika-3563,2/12/16,Feb-2016,New Brunswick,NJ,Student Newspaper,offensive-symbol,,,,,No,tape,college campus,college,dorm ceiling,https://media.thetab.com/blogs.dir/110/files/2016/02/Screen-Shot-2016-02-18-at-09.13.44-768x537.png,Jewish Community,,,"The Jewish Rutgers student also claimed she was chided by RUPD for calling 911. The University responded saying: “Following an extensive investigation, which included several interviews with the complainant, witnesses and the suspect, the matter was handled by The Office of Student Conduct and adjudicated. As is the case with any potential bias crime, the facts of the case were forwarded to the Middlesex County Prosecutor’s Office. Upon review, the Prosecutor’s Office determined there was not probable cause to charge the suspect with a bias crime.”",,school administration,other,"school administration
other",police/sheriff,other,"police/sheriff
other",,,"
",,,"
",2,Symbol,other,"other, other","school administration, police/sheriff",Jewish Community,True,other,0,False,False,None,False,True,school administration,0,0,0,False,True
https://badgerherald.com/news/2016/02/18/uw-officials-respond-to-swastika-bias-incident-in-campus-dorm/,2/18/16,Feb-2016,Madison,WI,Student Newspaper,bias-incident,,,,Hitler,No,"tape, paper and ink",college campus,college,dorm door,http://badgerherald.com/media/2016/02/Screen-Shot-2016-02-18-at-5.34.17-PM-648x479.png,Jewish Community,,fellow student,"Authorities dealt with it through the school's Code of Conduct. Immediately after the swastika incident, UW-Madison officials sent an email to all Sellery residents explaining the behavior was unacceptable. The letter also contained information about ways students may report instances in which they feel targeted because of their identity and information on a forum where students can ask questions and voice their frustrations.",,school administration,letters/statements,"school administration
letters/statements",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",school administration,victim support,"school administration
victim support",,,"
",3,Incident,other,"letters/statements, policy/committee/system creation, victim support","school administration, school administration, school administration",Jewish Community,False,no involvement,0,True,False,None,False,False,None,1,0,1,True,False
https://calcoastnews.com/2016/03/swastikas-racial-slurs-scribbled-on-cal-poly-apartment/,2/23/16,Feb-2016,San Luis Obispo,CA,Local News,racial-vandalism,,,"I-love-N******, Clean-the-Trash, I'm-a-F**",Hammer and sickle,No,marker,college campus,college,dorm door,https://calcoastnews.com/images/2016/03/Poly-Apartment-1024x735.jpg,Non-White,,student,Police investigation and request for help from the community to identify individuals. Email support for student by students and staff.,Video interview: https://youtu.be/T4UC-19130k,police/sheriff,other,"police/sheriff
other",school administration,victim support,"school administration
victim support",,,"
",,,"
",2,Vandalism,vandalism,"other, victim support","police/sheriff, school administration",Non-White,True,other,0,False,False,None,False,True,police/sheriff,0,0,1,True,True
http://newton.wickedlocal.com/news/20160225/officials-reviewing-protocols-after-two-antisemitic-incidents-at-newtons-day-middle-school,2/25/16,Feb-2016,Newtonville,MA,Local News,antisemitic-incident,hate-crime,hateful-graffiti,,,No,marker,middle school,K-12,bathroom wall,,,,,"The principal of the school will be hosting a community forum March 9 at 7 p.m. in the Day school library, and plans to devote his next “Parent-Principal Coffee” event on March 11 to the subject.",reported with one above,school administration,gathering/protest/vigil/demonstration,"school administration
gathering/protest/vigil/demonstration",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Incident,graffiti,"gathering/protest/vigil/demonstration, policy/committee/system creation","school administration, school administration",,False,no involvement,0,False,False,None,False,False,None,1,1,0,True,False
https://thehill.com/blogs/ballot-box/271287-trump-swastika-sign-reported-in-houston,3/1/16,Mar-2016,Houston,TX,National News,none,,,Stop-Trump,,No,paper and ink,polling location,public space,poster,http://thehill.com/sites/default/files/styles/thumb_small_article/public/blogs/trumpswastika1.jpg?itok=cv_xPsSR,Trump Supporter,,,,This was marshalled as a protest against Trump not supportive.,community members,gathering/protest/vigil/demonstration,"community members
gathering/protest/vigil/demonstration",,,"
",,,"
",,,"
",1,None,none,gathering/protest/vigil/demonstration,gathering/protest/vigil/demonstration,Trump Supporter,False,no involvement,0,False,False,None,False,False,None,0,1,0,True,False
https://fox13now.com/2016/03/03/swastikas-in-sugar-house-posters-against-trump-offending-residents/,3/3/16,Mar-2016,Salt Lake City,NV,Local News,political-activism,,,"Stop-Trump, #-Donald-Chump",,No,paper and ink,urban street,public space,exterior urban wall,http://static-32.sinclairstoryline.com/resources/media/f4ad0298-0f2f-4abd-b87b-c38f16d27fcb-medium36x25_Trump1.JPG,Trump Supporter,,,posters removed or defaced,This was marshalled as a protest against Trump not supportive.,community members,gathering/protest/vigil/demonstration,"community members
gathering/protest/vigil/demonstration",,,"
",,,"
",,,"
",1,Other,other,gathering/protest/vigil/demonstration,gathering/protest/vigil/demonstration,Trump Supporter,False,no involvement,0,False,False,None,False,False,None,0,1,0,True,False
https://fox59.com/news/swastikas-found-at-uindy-purdue-university/,3/4/16,Mar-2016,Indianapolis,IA,Local News,vandalism,,,,,No,marker,college campus,college,anti-Trump sign in yard,,Jewish Community,,,"Letter issued by the associate dean for the whiteboard incident. Text of letter: Dear Colleagues, Yesterday, several of our colleagues came to the office to be confronted by a swastika and antisemitic slur written on a whiteboard in the American Studies Program. This type of hateful expression is repulsive and outside of the bounds of civil discourse. It has no place in the College of Liberal Arts and Purdue University. I know firsthand the human cost of virulent hate. Many in my family died during the horrors of World War II. The College of Liberal Arts and Purdue University are committed to free and open inquiry, while embracing and respecting our differences. I ask that we re-double our efforts to ensure we live up to our commitment to each other and to this university by engaging in meaningful dialogue, analysis, criticism and creative activity.",accompanied by antisemitic slur found between 3:30pm March 4th and 7:30am March 7th.,school administration,letters/statements,"school administration
letters/statements",,,"
",,,"
",,,"
",1,Vandalism,vandalism,letters/statements,letters/statements,Jewish Community,False,no involvement,0,True,False,None,False,False,None,0,0,0,False,False
http://newyork.cbslocal.com/2016/03/08/cedarhurst-swastikas/,3/8/16,Mar-2016,Cedarhurst,NY,Local News,symbol-of-hate,,,,,No,chalk,private property,private property,sidewalk,,Jewish Community,,,Rockaway Nassau Safety Patrol has increased its patrols. Assemblyman Kaminsky scrubbed the chalk swastika off the sidewalk.,believed to be children,police/sheriff,other,"police/sheriff
other",mayor/council member,clean up/cover up,"mayor/council member
clean up/cover up",,,"
",,,"
",2,Symbol,other,"other, clean up/cover up","police/sheriff, mayor/council member",Jewish Community,True,other,0,False,True,mayor/council member,False,True,police/sheriff,0,0,0,False,True
http://fox59.com/2016/03/08/swastikas-found-at-uindy-purdue-university/,3/8/16,Mar-2016,Indianapolis,IA,Local News,vandalism,,,,,No,etch,college campus,college,memorial,,,,,"Letter issued by university president for the statue being defaced. Text of letter: Dear UIndy Students: Respect, faith, empiricism, and the celebration of intellectual and human diversity create the core traditions of the University of Indianapolis. During the past three years, our community has discussed the themes of race and ethnicity, religious freedom and liberties, social justice and human rights – areas profoundly impacting our nation and most recently, the public policies of our state. As our colleagues at Purdue, IU, Cornell, University of Missouri, Yale, and many other institutions around the country engage these questions, we are all reminded how these debates are central to understanding the role that higher education plays in the construction of a civil and educated society. I am proud of our tradition of respectfully and openly engaging in discussions about the most critical issues of our time. We have engaged questions of same-sex marriage, our students recently debated the questions of the Israeli and Palestinian conflict and human rights, and we have been in ongoing conversations about race and culture with all of our members. In direct contrast to our efforts to celebrate our diversity, I was recently made aware that someone scratched a swastika on the bust of Au Ho-nien, located in Schwitzer Student Center. The incident is currently under investigation. Such an act is against every core value on which our University stands; yet it reminds us we are not immune to intolerance and hate. UIndy has not and will never tolerate such behavior. Our University community is created by and comprised of people from many different views, experiences, cultures and beliefs. We are a great institution of higher education because of our diversity – and must do everything we can to continue to value this reality. Later this week I will receive the outcomes of our second campus climate survey as well as recommendations from the Diversity and Inclusion Task Force. For the past six months, I have also been in conversations with our University Planning Commission and student groups around campus. Having been privileged to see a preview of these findings, I am empowering our university leadership to accelerate the implementation of many of the recommendations from these groups – most prominently, the creation of a position at UIndy to engage questions of diversity and inclusion on campus. I am proud of our University’s longstanding tradition of engaging conversations about difficult societal issues and creating change. This is a moment for UIndy to continue its work in this area, and I am confident that together we are prepared for this challenge.",,school administration,letters/statements,"school administration
letters/statements",school administration,policy/committee/system creation,"school administration
policy/committee/system creation",,,"
",,,"
",2,Vandalism,vandalism,"letters/statements, policy/committee/system creation","school administration, school administration",,False,no involvement,0,True,False,None,False,False,None,1,0,0,True,False
http://www.nydailynews.com/news/national/northwestern-freshmen-paint-slurs-trump-chapel-article-1.2563021,3/11/16,Mar-2016,Chicago,IL,National News,graffiti,vandalism,,Trump,male genitalia,No,spray paint,college campus,college,chapel interior wall,,LGBTQ,,"Anthony Morales, 19, and Matthew Kafker, 18","prosecution $50,000 bail for charges of criminal damage to property, institutional vandalism and hate crime in a place of worship ""It's disturbing to think that someone who's been in this space would be venting some sort of rage that way,"" university chaplain Tim Stevens, who said he discovered the defacement, told the Daily News on Sunday.","Both attended Northwestern University, and that is how they were identified. Pictured here: https://www.nydailynews.com/resizer/2b2EGT6Lct2uo1v0_konS-xN3jA=/800x491/top/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/74AKBGB2S75QTZQ2UCR63FJO6Q.jpg",police/sheriff,suspension/denial of access to space,"police/sheriff
suspension/denial of access to space",religious leaders,letters/statements,"religious leaders
letters/statements",,,"
",,,"
",2,Graffiti,vandalism,"suspension/denial of access to space, letters/statements","police/sheriff, religious leaders",LGBTQ,True,suspension/denial of access to space,1,True,False,None,True,False,None,0,0,0,False,True
https://www.cleveland19.com/story/31517523/swastikas-spray-painted-on-trump-yard-signs/,3/18/16,Mar-2016,Olmstead Township,OH,Local News,Nazi-symbol,,,,,No,spray paint,private property,private property,Trump campaign sign,http://woio.images.worldnow.com/images/10143300_G.jpg,Trump Supporter,,,"Police investigating; ""I have my family that lives here that I'm very concerned about now for their safety because this takes it to a whole other level, other than tearing up a Trump sign,"" he said.","Other ""vulgar words"" were also written on the signs. Event occured evening of March 18/morning of March 19.",police/sheriff,other,"police/sheriff
other",,,"
",,,"
",,,"
",1,Symbol,Nazi-symbol,other,other,Trump Supporter,True,other,0,False,False,None,False,True,police/sheriff,0,0,0,False,True
http://www.roanoke.com/news/local/roanoke_county/second-swastika-discovered-near-hollins-university-campus/article_ade2317f-efa6-5338-8903-6d74d9e5f649.html,3/27/16,Mar-2016,Roanoke,VA,Local News,defacement,,,Rape-Mexico,,No,spray paint,college campus,college,landmark,https://mgtvwsls.files.wordpress.com/2016/03/swastika.jpg,,,,"Rock repainted with ""Take Back the Rock,"" got together to chalk messages of love on campus sidewalks, and ""Love, Not Hate"" rally was held weekend after incident. See here: http://www.roanoke.com/news/education/hollins-students-emphasize-love-over-hate-after-swastika-found-on/article_63adcd72-4942-5edc-9ecb-04e8f813e7eb.html","Spree: swastika on rock, in tunnel Also reported: http://www.roanoke.com/news/local/roanoke_county/second-swastika-discovered-near-hollins-university-campus/article_ade2317f-efa6-5338-8903-6d74d9e5f649.html",community members,clean up/cover up,"community members
clean up/cover up",community members,gathering/protest/vigil/demonstration,"community members
gathering/protest/vigil/demonstration",,,"
",,,"
",2,Other,other,"clean up/cover up, gathering/protest/vigil/demonstration","community members, community members",,False,no involvement,0,False,True,community members,False,False,None,0,1,0,True,True
https://www.timesofisrael.com/white-supremacist-claims-swastika-printing-hack-at-us-colleges,3/28/16,Mar-2016,Amherst,MA,International News,antisemitic-and-racist-flyers,,,"Rape-Mexico, Real-Power",,No,paper and ink,college campus,college,printer,https://twitter.com/JoeKhalilTV/status/713947176699699200,Jewish Community,,"Andrew Auernheimer, self-described â€˜white nationalist hackÂ­tivist' and â€œa long-time critic of Judaism, black culture, immigration to Western nations, and the mediaâ€™s constant stream of anti-white propaganda,â€","Universities have notified the police and launched investigations regarding the flyers, but it was unclear if Auernheimer broke any laws, according to The New York Times.","Also reported here: https://www.nbcbayarea.com/news/local/Hacked-University-of-California-Berkeley-Computers-Print-Racist-antisemitic-Anti-Gay-flyers-374075821.html for Berkley. ""Officials say the school’s information security team has already taken steps to block traffic coming from the source of the hateful-messages. As a longer term solution, the university is considering upgrades to the campus network. The incidents are being investigated as hate-crimes by campus police as well as the FBI."" Labeled in this source as: hate-crimes hate-filled messages, racist, antisemitic and anti-gay flyers",police/sheriff,other,"police/sheriff
other",,,"
",,,"
",,,"
",1,Other,other,other,other,Jewish Community,True,other,0,False,False,None,False,True,police/sheriff,0,0,0,False,True
http://www.nbcchicago.com/news/local/Pilsen-Church-Swastika-373932521.html,3/29/16,Mar-2016,Chicago,IL,Local News,criminal-defacement; vandalism,,,Rape-Mexico,,No,marker,church,religious institution,exterior door,http://media.nbcchicago.com/images/654*367/dsfsdfsdfsdfsdfsdf.jpg,Latinx Community,,,"“I know that we think these 'white power' advocates are only in other communities but we should be aware that the wave of racism across the nation, evident in large crowds at Trump and Cruz rallies, is emboldening those who would carry out acts of terror to sneak into our communities under cover of darkness,"" Rev. Lozano said in a statement. Chicago Police confirmed that a criminal defacement report has been made, and the department is currently investigating the incident. “Some group has determined to send us a message,"" Rev. Lozano. ""Of course, we will in no way be intimidated – but we will inform our community and we will remain alert.” Lincoln United Methodist Church is the sister church to Adalberto United Methodist in Humboldt Park, according to the release. Rev. Lozano pastors both churches.",incident occurred after Rev. Jesse Jackson joined undocumented families at the church for an Easter sermon,police/sheriff,other,"police/sheriff
other",business owner,letters/statements,"business owner
letters/statements",,,"
",,,"
",2,Vandalism,vandalism,"other, letters/statements","police/sheriff, business owner",Latinx Community,True,other,0,True,False,None,False,True,police/sheriff,0,0,0,False,True
https://www.dnainfo.com/chicago/20160330/pilsen/rape-mexico-swastika-scrawled-on-pilsen-church-window-pastor-says/,3/30/16,Mar-2016,Chicago,IL,Local News,"racist-graffiti, vandalism",,,Rape-Mexico,,No,paint,Methodist church,religious institution,window,http://assets.dnainfo.com/generated/chicago_photo/2016/03/pilsen-methodist-church-racist-graffiti--1459356042.jpg/extralarge.jpg,Non-White,,,"church musician removed the graffiti from the windows The writing was racial in nature and a criminal damage report was generated, police said. No one is in custody at this time and Area Central detectives are investigating. TWO DAYS IN A ROW","Came after Rev. Jesse Jackson spoke at the church on Easter Sunday in support of undocumented Latino families who faced deportation. While the swastika is not in the image, the article said it was present. Here's the picture link: https://assets.dnainfo.com/generated/chicago_photo/2016/03/pilsen-methodist-church-racist-graffiti--1459354654.jpg/extralarge.jpg  NOT A DUPLICATE INCIDENTS TWO DAYS IN A ROW",community members,clean up/cover up,"community members
clean up/cover up",,,"
",,,"
",,,"
",1,Graffiti,vandalism,clean up/cover up,clean up/cover up,Non-White,False,no involvement,0,False,True,community members,False,False,None,0,0,0,False,True
https://www.algemeiner.com/2016/04/04/swastika-sprayed-on-jewish-fraternity-party-house-at-brandeis-university/,4/1/16,Apr-2016,Waltham,MA,Local News,graffiti,,,"Rape-n-Kill-Mexico!, Trump-Rules",,No,condensation,college campus,college,house window,,Jewish Community,,,"Lisa M. Lynch, the university’s interim president, wrote in an email to students on Saturday that “crude graffiti involving a swastika [was] outlined in condensation on a window at a house where several Brandeis students live off-campus, and where an unofficial event hosted by a Jewish group was being held.” Lynch called the spraying of the graffiti a “heinous act” that violated the university’s values and went against its “Jewish heritage.”",,school administration,letters/statements,"school administration
letters/statements",,,"
",,,"
",,,"
",1,Graffiti,graffiti,letters/statements,letters/statements,Jewish Community,False,no involvement,0,True,False,None,False,False,None,0,0,0,False,False
http://news.keepmecurrent.com/police-mum-on-motive-for-swastika-painting/,4/3/16,Apr-2016,Scarborough,ME,Local News,graffiti,,,,Star of David,No,spray paint,private property,private property,driveway,http://news.keepmecurrent.com/wp-content/uploads/2016/04/xSwastika.jpg.pagespeed.ic.6X16O_zdwA.webp,,,"one is a 16-year-old girl from Windham, who attends Scarborough High School, and the other is a 17-year-old male from Old Orchard Beach, who attends the Greater Portland Christian School in South Portland","No new information was forthcoming this week regarding the arrest of two teenagers charged with aggravated criminal mischief, a Class C felony, in relation to the painting of a swastika and profanity in the driveway of a home on Jameco Mill Road in Scarborough earlier this month. In a press release, issued on April 14, the Scarborough police said it was clear the tagging was not “a random act,” but also said the investigation revealed that the incident was not a hate crime.Detective Sgt. Rick Rouse, with the Scarborough police, told the Current he could not discuss a motive for the incident, although he did say the family that owns the home is “doing fine.”","Spree: Garage was also targeted with the words ""Fuck You"" written on it in red.",police/sheriff,suspension/denial of access to space,"police/sheriff
suspension/denial of access to space",police/sheriff,letters/statements,"police/sheriff
letters/statements",,,"
",,,"
",2,Graffiti,graffiti,"suspension/denial of access to space, letters/statements","police/sheriff, police/sheriff",,True,suspension/denial of access to space,0,True,False,None,True,False,None,0,0,0,False,True
